equipment_id,equipment_type,component,log_date,visit_sequence,total_visits,narrative,vibration_mms,temperature_c,pressure_psi,rpm,telemetry_summary,failure_mode,risk_level,early_warning_flag,time_to_failure_days,recommendation
GEAR-103,Industrial Gearbox,Helical Pinion,2025-04-22,1,6,"Monthly condition monitoring inspection on Helical Pinion. Acoustic levels normal, vibration spectra show clean baseline at 1.54 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.54,66.1,22,782,VIB: 1.54 mm/s | TEMP: 66.1 C | RPM: 782 | PRESS: 22 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
GEAR-103,Industrial Gearbox,Helical Pinion,2025-05-14,2,6,"Semi-annual overhaul inspection. Inspected Helical Pinion, clearances verified against OEM specs. Operating pressure 40 PSI. Dynamic balancing intact, zero cavitation or abnormal resonance.",1.53,63.1,40,967,VIB: 1.53 mm/s | TEMP: 63.1 C | RPM: 967 | PRESS: 40 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
GEAR-103,Industrial Gearbox,Helical Pinion,2025-05-30,3,6,Borescope inspection of Helical Pinion shows initial micro-pitting along pitch line of helical teeth. Casing temperature steady at 73.4C. Added EP gear lubricant additive.,4.05,73.4,17,1021,VIB: 4.05 mm/s | TEMP: 73.4 C | RPM: 1021 | PRESS: 17 PSI,Gearbox_Tooth_Wear,Low_Risk,1,40,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
GEAR-103,Industrial Gearbox,Helical Pinion,2025-06-19,4,6,[Follow-up Alert] Previous inspection flagged anomaly. Borescope inspection of Helical Pinion shows initial micro-pitting along pitch line of helical teeth. Casing temperature steady at 87.6C. Added EP gear lubricant additive.,5.96,87.6,13,1348,VIB: 5.96 mm/s | TEMP: 87.6 C | RPM: 1348 | PRESS: 13 PSI,Gearbox_Tooth_Wear,Medium_Risk,1,15,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
GEAR-103,Industrial Gearbox,Helical Pinion,2025-07-08,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Severe cyclical clunking and loud grinding from gearbox housing. High vibration 7.39 mm/s with dominant gear mesh sidebands. Large chipped gear tooth fragments recovered from magnetic drain plug.,7.39,107.7,6,891,VIB: 7.39 mm/s | TEMP: 107.7 C | RPM: 891 | PRESS: 6 PSI,Gearbox_Tooth_Wear,Critical,1,0,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
MTR-104,Induction Motor,Terminal Box,2025-03-16,1,6,"Semi-annual overhaul inspection. Inspected Terminal Box, clearances verified against OEM specs. Operating pressure 0 PSI. Dynamic balancing intact, zero cavitation or abnormal resonance.",1.2,46.6,0,2701,VIB: 1.20 mm/s | TEMP: 46.6 C | RPM: 2701,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
MTR-104,Induction Motor,Terminal Box,2025-04-13,2,6,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.82 mm/s, casing temp 69.3C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.82,69.3,0,1994,VIB: 1.82 mm/s | TEMP: 69.3 C | RPM: 1994,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
MTR-104,Induction Motor,Terminal Box,2025-04-28,3,6,Technician noticed mild burning varnish smell near terminal enclosure after continuous 8-hour run. Stator casing temp 80.8C. Insulation resistance test recommended at next downtime window.,3.25,80.8,0,2876,VIB: 3.25 mm/s | TEMP: 80.8 C | RPM: 2876,Motor_Overheating,Low_Risk,1,40,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
MTR-104,Induction Motor,Terminal Box,2025-05-20,4,6,"[Follow-up Alert] Previous inspection flagged anomaly. Stator RTD sensors indicate slight thermal drift up to 85.8C on Terminal Box. Cooling airflow partially restricted by dust accumulation on fan cowl. Cleaned cowl, monitoring winding temp.",3.92,85.8,0,1708,VIB: 3.92 mm/s | TEMP: 85.8 C | RPM: 1708,Motor_Overheating,Medium_Risk,1,15,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
MTR-104,Induction Motor,Terminal Box,2025-06-09,5,6,"[CRITICAL WORK ORDER] Equipment tripped during operation. Critical high-temperature alarm tripped on Terminal Box. Stator core temperature reached 114.0C, far exceeding Class F insulation limit. Heavy burning odor and smoking reported from cooling cowl.",7.33,114.0,0,2505,VIB: 7.33 mm/s | TEMP: 114.0 C | RPM: 2505,Motor_Overheating,Critical,1,0,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
CONV-105,Heavy Conveyor Drive,Drive Sprocket,2025-06-06,1,6,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.26 mm/s, casing temp 44.3C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.26,44.3,0,456,VIB: 1.26 mm/s | TEMP: 44.3 C | RPM: 456,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-105,Heavy Conveyor Drive,Drive Sprocket,2025-06-28,2,6,"Periodic lubrication and visual check completed on CONV-105. DE and NDE bearing temperatures steady at 35.5C. Operational RPM at 800. No evidence of wear, contamination, or mechanical looseness.",2.49,35.5,0,800,VIB: 2.49 mm/s | TEMP: 35.5 C | RPM: 800,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-105,Heavy Conveyor Drive,Drive Sprocket,2025-07-17,3,6,Routine vibration monitoring detected slight elevation on Drive Sprocket. Overall VIB increased to 3.89 mm/s with faint 1X/2X harmonics. Casing temp slightly elevated at 64.4C. Recommend monitoring next shift.,3.89,64.4,0,359,VIB: 3.89 mm/s | TEMP: 64.4 C | RPM: 359,Bearing_Degradation,Low_Risk,1,40,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
CONV-105,Heavy Conveyor Drive,Drive Sprocket,2025-07-31,4,6,[Follow-up Alert] Previous inspection flagged anomaly. Severe high-pitch whining and grinding noise emanating from Drive Sprocket. High vibration velocity of 7.22 mm/s exceeding ISO class alert limit. Housing temperature reached 82.6C. Flaking and spalling confirmed.,7.22,82.6,0,797,VIB: 7.22 mm/s | TEMP: 82.6 C | RPM: 797,Bearing_Degradation,Medium_Risk,1,15,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
CONV-105,Heavy Conveyor Drive,Drive Sprocket,2025-08-16,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Severe high-pitch whining and grinding noise emanating from Drive Sprocket. High vibration velocity of 11.47 mm/s exceeding ISO class alert limit. Housing temperature reached 101.5C. Flaking and spalling confirmed.,11.47,101.5,0,431,VIB: 11.47 mm/s | TEMP: 101.5 C | RPM: 431,Bearing_Degradation,Critical,1,0,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-05-21,1,6,"Monthly condition monitoring inspection on Non-Drive End Bearing. Acoustic levels normal, vibration spectra show clean baseline at 1.43 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.43,62.5,60,2347,VIB: 1.43 mm/s | TEMP: 62.5 C | RPM: 2347 | PRESS: 60 PSI,Normal_Operation,Normal,0,318,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-06-04,2,6,"Monthly condition monitoring inspection on Non-Drive End Bearing. Acoustic levels normal, vibration spectra show clean baseline at 1.58 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.58,40.5,82,2142,VIB: 1.58 mm/s | TEMP: 40.5 C | RPM: 2142 | PRESS: 82 PSI,Normal_Operation,Normal,0,356,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-06-16,3,6,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 0.88 mm/s, casing temp 57.7C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",0.88,57.7,49,1595,VIB: 0.88 mm/s | TEMP: 57.7 C | RPM: 1595 | PRESS: 49 PSI,Normal_Operation,Normal,0,231,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-07-08,4,6,"Monthly condition monitoring inspection on Non-Drive End Bearing. Acoustic levels normal, vibration spectra show clean baseline at 1.19 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.19,52.9,76,1595,VIB: 1.19 mm/s | TEMP: 52.9 C | RPM: 1595 | PRESS: 76 PSI,Normal_Operation,Normal,0,362,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-07-24,5,6,"Monthly condition monitoring inspection on Non-Drive End Bearing. Acoustic levels normal, vibration spectra show clean baseline at 1.60 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.6,63.4,75,2931,VIB: 1.60 mm/s | TEMP: 63.4 C | RPM: 2931 | PRESS: 75 PSI,Normal_Operation,Normal,0,259,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-106,Centrifugal Pump,Non-Drive End Bearing,2025-08-20,6,6,"Periodic lubrication and visual check completed on PUMP-106. DE and NDE bearing temperatures steady at 44.8C. Operational RPM at 2283. No evidence of wear, contamination, or mechanical looseness.",0.94,44.8,72,2283,VIB: 0.94 mm/s | TEMP: 44.8 C | RPM: 2283 | PRESS: 72 PSI,Normal_Operation,Normal,0,282,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
TURB-107,Gas Turbine,Turbine Blades,2025-02-05,1,6,"Monthly condition monitoring inspection on Turbine Blades. Acoustic levels normal, vibration spectra show clean baseline at 2.44 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",2.44,88.2,147,4649,VIB: 2.44 mm/s | TEMP: 88.2 C | RPM: 4649 | PRESS: 147 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
TURB-107,Gas Turbine,Turbine Blades,2025-02-23,2,6,"Periodic lubrication and visual check completed on TURB-107. DE and NDE bearing temperatures steady at 83.4C. Operational RPM at 3779. No evidence of wear, contamination, or mechanical looseness.",1.25,83.4,166,3779,VIB: 1.25 mm/s | TEMP: 83.4 C | RPM: 3779 | PRESS: 166 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
TURB-107,Gas Turbine,Turbine Blades,2025-03-21,3,6,Routine vibration monitoring detected slight elevation on Turbine Blades. Overall VIB increased to 3.23 mm/s with faint 1X/2X harmonics. Casing temp slightly elevated at 105.7C. Recommend monitoring next shift.,3.23,105.7,102,4023,VIB: 3.23 mm/s | TEMP: 105.7 C | RPM: 4023 | PRESS: 102 PSI,Bearing_Degradation,Low_Risk,1,40,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
TURB-107,Gas Turbine,Turbine Blades,2025-04-03,4,6,[Follow-up Alert] Previous inspection flagged anomaly. Routine vibration monitoring detected slight elevation on Turbine Blades. Overall VIB increased to 7.38 mm/s with faint 1X/2X harmonics. Casing temp slightly elevated at 120.0C. Recommend monitoring next shift.,7.38,120.0,78,5671,VIB: 7.38 mm/s | TEMP: 120.0 C | RPM: 5671 | PRESS: 78 PSI,Bearing_Degradation,Medium_Risk,1,15,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
TURB-107,Gas Turbine,Turbine Blades,2025-04-22,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Urgent maintenance alert: Turbine Blades exhibiting heavy cage rattling and loose raceway play. Vibration spike at 10.13 mm/s. Metal debris and bronze flakes found in lube filter. Bearing approaching catastrophic seizure.,10.13,130.2,36,3681,VIB: 10.13 mm/s | TEMP: 130.2 C | RPM: 3681 | PRESS: 36 PSI,Bearing_Degradation,Critical,1,0,"Perform vibration spectral analysis, inspect bearing lubrication, and schedule replacement of bearing assembly."
COMP-108,Air Compressor,Intercooler,2025-01-30,1,5,"Monthly condition monitoring inspection on Intercooler. Acoustic levels normal, vibration spectra show clean baseline at 2.45 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",2.45,53.6,152,1665,VIB: 2.45 mm/s | TEMP: 53.6 C | RPM: 1665 | PRESS: 152 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
COMP-108,Air Compressor,Intercooler,2025-02-17,2,5,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.31 mm/s, casing temp 51.5C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.31,51.5,159,1503,VIB: 1.31 mm/s | TEMP: 51.5 C | RPM: 1503 | PRESS: 159 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
COMP-108,Air Compressor,Intercooler,2025-03-11,3,5,Technician flagged faint hydraulic misting and pressure instability during load cycling. Intercooler showing micro-cracks on O-ring seal. Added to planned maintenance replacement list.,4.3,77.5,76,1258,VIB: 4.30 mm/s | TEMP: 77.5 C | RPM: 1258 | PRESS: 76 PSI,Hydraulic_Leak,Low_Risk,1,40,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
COMP-108,Air Compressor,Intercooler,2025-03-28,4,5,[Follow-up Alert] Previous inspection flagged anomaly. Visual inspection noted oil weeping and wet residue near Intercooler fitting. Pressure drop of 4 PSI noted across the manifold. Tightened hose crimp fitting and cleaned surrounding pan.,5.64,99.5,58,1258,VIB: 5.64 mm/s | TEMP: 99.5 C | RPM: 1258 | PRESS: 58 PSI,Hydraulic_Leak,Medium_Risk,1,15,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
COMP-108,Air Compressor,Intercooler,2025-04-11,5,5,[CRITICAL WORK ORDER] Equipment tripped during operation. Major hydraulic line rupture and heavy fluid spraying from Intercooler. System pressure collapsed to 27 PSI. Emergency containment berm deployed to capture oil spill.,9.6,116.9,27,1269,VIB: 9.60 mm/s | TEMP: 116.9 C | RPM: 1269 | PRESS: 27 PSI,Hydraulic_Leak,Critical,1,0,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
GEAR-109,Industrial Gearbox,Helical Pinion,2025-06-25,1,6,"Periodic lubrication and visual check completed on GEAR-109. DE and NDE bearing temperatures steady at 63.1C. Operational RPM at 1179. No evidence of wear, contamination, or mechanical looseness.",1.8,63.1,30,1179,VIB: 1.80 mm/s | TEMP: 63.1 C | RPM: 1179 | PRESS: 30 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
GEAR-109,Industrial Gearbox,Helical Pinion,2025-07-13,2,6,"Monthly condition monitoring inspection on Helical Pinion. Acoustic levels normal, vibration spectra show clean baseline at 1.28 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.28,64.3,32,1435,VIB: 1.28 mm/s | TEMP: 64.3 C | RPM: 1435 | PRESS: 32 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
GEAR-109,Industrial Gearbox,Helical Pinion,2025-08-03,3,6,Vibration spectra revealed emerging gear mesh harmonics (GMF) on Helical Pinion. Minor surface scuffing noted during borescope inspection. Gearbox lube oil iron count is 45 ppm. Monitoring gear backlash.,4.07,75.2,17,1218,VIB: 4.07 mm/s | TEMP: 75.2 C | RPM: 1218 | PRESS: 17 PSI,Gearbox_Tooth_Wear,Low_Risk,1,40,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
GEAR-109,Industrial Gearbox,Helical Pinion,2025-08-15,4,6,[Follow-up Alert] Previous inspection flagged anomaly. Vibration spectra revealed emerging gear mesh harmonics (GMF) on Helical Pinion. Minor surface scuffing noted during borescope inspection. Gearbox lube oil iron count is 45 ppm. Monitoring gear backlash.,5.91,90.1,13,1219,VIB: 5.91 mm/s | TEMP: 90.1 C | RPM: 1219 | PRESS: 13 PSI,Gearbox_Tooth_Wear,Medium_Risk,1,15,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
GEAR-109,Industrial Gearbox,Helical Pinion,2025-08-29,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Critical gear failure: Helical Pinion suffered catastrophic tooth root fracture and severe macropitting. Gear backlash out of spec (>1.8mm). Gearbox seized under 80% rated load.,8.13,100.3,6,1300,VIB: 8.13 mm/s | TEMP: 100.3 C | RPM: 1300 | PRESS: 6 PSI,Gearbox_Tooth_Wear,Critical,1,0,"Conduct ferrography oil analysis, measure gear backlash and tooth pitting, and schedule gear set replacement."
MTR-110,Induction Motor,Rotor Bars,2025-04-18,1,5,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.50 mm/s, casing temp 62.6C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.5,62.6,0,2592,VIB: 1.50 mm/s | TEMP: 62.6 C | RPM: 2592,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
MTR-110,Induction Motor,Rotor Bars,2025-05-09,2,5,"Periodic lubrication and visual check completed on MTR-110. DE and NDE bearing temperatures steady at 47.6C. Operational RPM at 2838. No evidence of wear, contamination, or mechanical looseness.",1.84,47.6,0,2838,VIB: 1.84 mm/s | TEMP: 47.6 C | RPM: 2838,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
MTR-110,Induction Motor,Rotor Bars,2025-05-24,3,5,"Thermal camera inspection identified warm hotspot on motor frame near Rotor Bars. Temp recorded at 79.4C, approx 12C above ambient. Current draw slightly asymmetrical. Scheduled for thermal re-check.",2.42,79.4,0,1699,VIB: 2.42 mm/s | TEMP: 79.4 C | RPM: 1699,Motor_Overheating,Low_Risk,1,40,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
MTR-110,Induction Motor,Rotor Bars,2025-06-11,4,5,[Follow-up Alert] Previous inspection flagged anomaly. Technician noticed mild burning varnish smell near terminal enclosure after continuous 8-hour run. Stator casing temp 86.5C. Insulation resistance test recommended at next downtime window.,4.97,86.5,0,2949,VIB: 4.97 mm/s | TEMP: 86.5 C | RPM: 2949,Motor_Overheating,Medium_Risk,1,15,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
MTR-110,Induction Motor,Rotor Bars,2025-07-09,5,5,"[CRITICAL WORK ORDER] Equipment tripped during operation. Critical high-temperature alarm tripped on Rotor Bars. Stator core temperature reached 101.3C, far exceeding Class F insulation limit. Heavy burning odor and smoking reported from cooling cowl.",8.69,101.3,0,2480,VIB: 8.69 mm/s | TEMP: 101.3 C | RPM: 2480,Motor_Overheating,Critical,1,0,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
CONV-111,Heavy Conveyor Drive,Drive Pulley,2025-04-07,1,5,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.68 mm/s, casing temp 48.8C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.68,48.8,0,752,VIB: 1.68 mm/s | TEMP: 48.8 C | RPM: 752,Normal_Operation,Normal,0,180,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-111,Heavy Conveyor Drive,Drive Pulley,2025-04-22,2,5,"Monthly condition monitoring inspection on Drive Pulley. Acoustic levels normal, vibration spectra show clean baseline at 2.11 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",2.11,58.6,0,377,VIB: 2.11 mm/s | TEMP: 58.6 C | RPM: 377,Normal_Operation,Normal,0,265,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-111,Heavy Conveyor Drive,Drive Pulley,2025-05-05,3,5,"Monthly condition monitoring inspection on Drive Pulley. Acoustic levels normal, vibration spectra show clean baseline at 1.24 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.24,49.6,0,678,VIB: 1.24 mm/s | TEMP: 49.6 C | RPM: 678,Normal_Operation,Normal,0,213,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-111,Heavy Conveyor Drive,Drive Pulley,2025-05-18,4,5,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 2.49 mm/s, casing temp 44.1C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",2.49,44.1,0,615,VIB: 2.49 mm/s | TEMP: 44.1 C | RPM: 615,Normal_Operation,Normal,0,343,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
CONV-111,Heavy Conveyor Drive,Drive Pulley,2025-06-10,5,5,"Periodic lubrication and visual check completed on CONV-111. DE and NDE bearing temperatures steady at 52.1C. Operational RPM at 515. No evidence of wear, contamination, or mechanical looseness.",2.07,52.1,0,515,VIB: 2.07 mm/s | TEMP: 52.1 C | RPM: 515,Normal_Operation,Normal,0,247,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-112,Centrifugal Pump,Non-Drive End Bearing,2025-03-07,1,6,"Semi-annual overhaul inspection. Inspected Non-Drive End Bearing, clearances verified against OEM specs. Operating pressure 66 PSI. Dynamic balancing intact, zero cavitation or abnormal resonance.",0.83,62.0,66,1812,VIB: 0.83 mm/s | TEMP: 62.0 C | RPM: 1812 | PRESS: 66 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
PUMP-112,Centrifugal Pump,Non-Drive End Bearing,2025-03-26,2,6,"Routine PM inspection completed. Equipment running smoothly within nominal tolerances. VIB overall 1.78 mm/s, casing temp 44.0C. Oil levels checked and topped off. No abnormal acoustics or thermal anomalies observed.",1.78,44.0,69,1996,VIB: 1.78 mm/s | TEMP: 44.0 C | RPM: 1996 | PRESS: 69 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
